observation,vintage,version,value,basis
1956-Q4,2016-08-25,5,110336,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1956-Q4,2017-11-23,10,113078,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1956-Q4,2018-08-09,13,114641,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1956-Q4,2019-11-11,19,115429,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1956-Q4,2020-11-12,23,119891,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1956-Q4,2021-11-11,27,126009,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1956-Q4,2022-11-15,31,132945,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1956-Q4,2023-11-10,35,125329,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1956-Q4,2024-11-15,39,138850,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1956-Q4,2025-11-13,43,149607,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1957-Q1,2015-05-27,1,106988,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1957-Q1,2015-05-27,2,108932,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1957-Q1,2016-08-25,5,112513,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1957-Q1,2017-11-23,10,115315,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1957-Q1,2018-08-09,13,116910,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1957-Q1,2019-11-11,19,117738,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1957-Q1,2020-11-12,23,122290,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1957-Q1,2021-11-11,27,128529,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1957-Q1,2022-11-15,31,135711,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1957-Q1,2023-11-10,35,127685,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1957-Q1,2024-11-15,39,141445,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1957-Q1,2025-11-13,43,152331,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1957-Q2,2015-05-27,1,107011,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1957-Q2,2015-05-27,2,108906,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1957-Q2,2016-08-25,5,112481,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1957-Q2,2017-11-23,10,115292,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1957-Q2,2018-08-09,13,116887,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1957-Q2,2019-11-11,19,117750,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1957-Q2,2020-11-12,23,122303,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1957-Q2,2021-11-11,27,128542,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1957-Q2,2022-11-15,31,135750,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1957-Q2,2023-11-10,35,127644,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1957-Q2,2024-11-15,39,141405,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1957-Q2,2025-11-13,43,152285,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1957-Q3,2015-05-27,1,106316,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1957-Q3,2015-05-27,2,108237,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1957-Q3,2016-08-25,5,111780,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1957-Q3,2017-11-23,10,114582,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1957-Q3,2018-08-09,13,116167,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1957-Q3,2019-11-11,19,117027,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1957-Q3,2020-11-12,23,121553,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1957-Q3,2021-11-11,27,127752,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1957-Q3,2022-11-15,31,134944,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1957-Q3,2023-11-10,35,126847,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1957-Q3,2024-11-15,39,140528,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1957-Q3,2025-11-13,43,151340,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1957-Q4,2015-05-27,1,106525,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1957-Q4,2015-05-27,2,108410,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1957-Q4,2016-08-25,5,111969,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1957-Q4,2017-11-23,10,114775,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1957-Q4,2018-08-09,13,116362,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1957-Q4,2019-11-11,19,117259,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1957-Q4,2020-11-12,23,121774,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1957-Q4,2021-11-11,27,127983,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1957-Q4,2022-11-15,31,135028,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1957-Q4,2023-11-10,35,127203,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1957-Q4,2024-11-15,39,140929,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1957-Q4,2025-11-13,43,151857,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1958-Q1,2015-05-27,1,108731,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1958-Q1,2015-05-27,2,110667,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1958-Q1,2016-08-25,5,114280,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1958-Q1,2017-11-23,10,117141,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1958-Q1,2018-08-09,13,118781,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1958-Q1,2019-11-11,19,119840,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1958-Q1,2020-11-12,23,124411,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1958-Q1,2021-11-11,27,130799,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1958-Q1,2022-11-15,31,138005,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1958-Q1,2023-11-10,35,130017,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1958-Q1,2024-11-15,39,144031,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1958-Q1,2025-11-13,43,155117,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1958-Q2,2015-05-27,1,106241,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1958-Q2,2015-05-27,2,108143,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1958-Q2,2016-08-25,5,111698,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1958-Q2,2017-11-23,10,114500,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1958-Q2,2018-08-09,13,116082,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1958-Q2,2019-11-11,19,116992,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1958-Q2,2020-11-12,23,121520,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1958-Q2,2021-11-11,27,127691,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1958-Q2,2022-11-15,31,134822,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1958-Q2,2023-11-10,35,126750,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1958-Q2,2024-11-15,39,140418,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1958-Q2,2025-11-13,43,151257,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1958-Q3,2015-05-27,1,108589,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1958-Q3,2015-05-27,2,110527,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1958-Q3,2016-08-25,5,114160,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1958-Q3,2017-11-23,10,117021,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1958-Q3,2018-08-09,13,118639,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1958-Q3,2019-11-11,19,119595,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1958-Q3,2020-11-12,23,124197,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1958-Q3,2021-11-11,27,130533,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1958-Q3,2022-11-15,31,137771,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1958-Q3,2023-11-10,35,129561,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1958-Q3,2024-11-15,39,143508,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1958-Q3,2025-11-13,43,154551,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1958-Q4,2015-05-27,1,108670,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1958-Q4,2015-05-27,2,110615,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1958-Q4,2016-08-25,5,114288,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1958-Q4,2017-11-23,10,117156,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1958-Q4,2018-08-09,13,118760,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1958-Q4,2019-11-11,19,119718,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1958-Q4,2020-11-12,23,124341,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1958-Q4,2021-11-11,27,130667,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1958-Q4,2022-11-15,31,137880,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1958-Q4,2023-11-10,35,129911,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1958-Q4,2024-11-15,39,143947,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1958-Q4,2025-11-13,43,155042,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1959-Q1,2015-05-27,1,109258,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1959-Q1,2015-05-27,2,111200,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1959-Q1,2016-08-25,5,114860,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1959-Q1,2017-11-23,10,117746,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
1959-Q1,2018-08-09,13,119382,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
