observation,vintage,version,value,basis
2017 MAY,2024-12-17,107,4.4,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2017 NOV,2018-02-21,28,4.4,"Unemployment rate (aged 16 and over, seasonally adjusted)"
2017 OCT,2018-01-24,27,4.3,"Unemployment rate (aged 16 and over, seasonally adjusted)"
2017 SEP,2017-12-13,26,4.3,"Unemployment rate (aged 16 and over, seasonally adjusted)"
2017 SEP,2019-02-19,40,4.2,"Unemployment rate (aged 16 and over, seasonally adjusted)"
2017 SEP,2024-02-13,97,4.3,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2017 SEP,2024-12-17,107,4.2,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2018 APR,2018-07-16,33,4.2,"Unemployment rate (aged 16 and over, seasonally adjusted)"
2018 AUG,2018-11-13,37,4.1,"Unemployment rate (aged 16 and over, seasonally adjusted)"
2018 AUG,2024-02-13,97,4.2,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2018 AUG,2024-12-17,107,4.1,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2018 DEC,2019-03-19,41,3.9,"Unemployment rate (aged 16 and over, seasonally adjusted)"
2018 DEC,2024-02-13,97,4.0,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2018 DEC,2024-12-17,107,3.9,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2018 FEB,2018-05-14,31,4.2,"Unemployment rate (aged 16 and over, seasonally adjusted)"
2018 FEB,2024-02-13,97,4.3,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2018 FEB,2024-12-17,107,4.2,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2018 JAN,2018-04-16,30,4.2,"Unemployment rate (aged 16 and over, seasonally adjusted)"
2018 JAN,2024-02-13,97,4.3,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2018 JAN,2024-12-17,107,4.2,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2018 JUL,2018-10-15,36,4.0,"Unemployment rate (aged 16 and over, seasonally adjusted)"
2018 JUL,2024-02-13,97,4.1,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2018 JUL,2024-12-17,107,4.0,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2018 JUN,2018-09-10,35,4.0,"Unemployment rate (aged 16 and over, seasonally adjusted)"
2018 JUN,2024-02-13,97,4.1,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2018 JUN,2024-12-17,107,4.0,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2018 MAR,2018-06-11,32,4.2,"Unemployment rate (aged 16 and over, seasonally adjusted)"
2018 MAR,2024-02-13,97,4.3,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2018 MAR,2024-12-17,107,4.2,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2018 MAY,2018-08-13,34,4.0,"Unemployment rate (aged 16 and over, seasonally adjusted)"
2018 MAY,2024-02-13,97,4.1,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2018 MAY,2024-12-17,107,4.0,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2018 NOV,2019-02-19,40,4.0,"Unemployment rate (aged 16 and over, seasonally adjusted)"
2018 NOV,2024-02-13,97,4.1,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2018 NOV,2024-12-17,107,4.0,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2018 OCT,2019-01-22,39,4.0,"Unemployment rate (aged 16 and over, seasonally adjusted)"
2018 OCT,2024-02-13,97,4.1,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2018 OCT,2024-12-17,107,4.0,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2018 SEP,2018-12-11,38,4.1,"Unemployment rate (aged 16 and over, seasonally adjusted)"
2019 APR,2019-07-15,45,3.8,"Unemployment rate (aged 16 and over, seasonally adjusted)"
2019 APR,2024-02-13,97,3.9,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2019 APR,2024-12-17,107,3.8,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2019 AUG,2019-11-12,49,3.8,"Unemployment rate (aged 16 and over, seasonally adjusted)"
2019 AUG,2024-02-13,97,3.9,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
