observation,vintage,version,value,basis
1994-04,2016-01-19,4,65.5,CPI All Items Index: Estimated pre-97 2005=100
1994-05,2015-10-12,1,84.1,CPI All Items Index: Estimated pre-97 2005=100
1994-05,2016-01-19,4,65.7,CPI All Items Index: Estimated pre-97 2005=100
1994-05,2018-12-19,39,65.8,CPI INDEX 00: ALL ITEMS 2015=100
1994-06,2015-10-12,1,84.1,CPI All Items Index: Estimated pre-97 2005=100
1994-06,2016-01-19,4,65.7,CPI All Items Index: Estimated pre-97 2005=100
1994-06,2018-12-19,39,65.8,CPI INDEX 00: ALL ITEMS 2015=100
1994-07,2015-10-12,1,83.6,CPI All Items Index: Estimated pre-97 2005=100
1994-07,2016-01-19,4,65.3,CPI All Items Index: Estimated pre-97 2005=100
1994-07,2018-12-19,39,65.4,CPI INDEX 00: ALL ITEMS 2015=100
1994-08,2015-10-12,1,84.1,CPI All Items Index: Estimated pre-97 2005=100
1994-08,2016-01-19,4,65.7,CPI All Items Index: Estimated pre-97 2005=100
1994-09,2015-10-12,1,84.2,CPI All Items Index: Estimated pre-97 2005=100
1994-09,2016-01-19,4,65.8,CPI All Items Index: Estimated pre-97 2005=100
1994-10,2015-10-12,1,84.0,CPI All Items Index: Estimated pre-97 2005=100
1994-10,2016-01-19,4,65.6,CPI All Items Index: Estimated pre-97 2005=100
1994-10,2018-12-19,39,65.7,CPI INDEX 00: ALL ITEMS 2015=100
1994-11,2015-10-12,1,84.1,CPI All Items Index: Estimated pre-97 2005=100
1994-11,2016-01-19,4,65.7,CPI All Items Index: Estimated pre-97 2005=100
1994-12,2015-10-12,1,84.5,CPI All Items Index: Estimated pre-97 2005=100
1994-12,2016-01-19,4,66.0,CPI All Items Index: Estimated pre-97 2005=100
1995-01,2015-10-12,1,84.5,CPI All Items Index: Estimated pre-97 2005=100
1995-01,2016-01-19,4,66.0,CPI All Items Index: Estimated pre-97 2005=100
1995-02,2015-10-12,1,84.9,CPI All Items Index: Estimated pre-97 2005=100
1995-02,2016-01-19,4,66.3,CPI All Items Index: Estimated pre-97 2005=100
1995-03,2015-10-12,1,85.3,CPI All Items Index: Estimated pre-97 2005=100
1995-03,2016-01-19,4,66.6,CPI All Items Index: Estimated pre-97 2005=100
1995-03,2018-12-19,39,66.7,CPI INDEX 00: ALL ITEMS 2015=100
1995-04,2015-10-12,1,85.8,CPI All Items Index: Estimated pre-97 2005=100
1995-04,2016-01-19,4,67.0,CPI All Items Index: Estimated pre-97 2005=100
1995-05,2015-10-12,1,86.2,CPI All Items Index: Estimated pre-97 2005=100
1995-05,2016-01-19,4,67.4,CPI All Items Index: Estimated pre-97 2005=100
1995-06,2015-10-12,1,86.3,CPI All Items Index: Estimated pre-97 2005=100
1995-06,2016-01-19,4,67.4,CPI All Items Index: Estimated pre-97 2005=100
